Income year2,Number of property interests1,Age range4,Number of individuals
2000,1,c. 40 - 49,246659
2001,1,c. 40 - 49,258795
2002,1,c. 40 - 49,271614
2003,1,c. 40 - 49,280326
2004,1,c. 40 - 49,292062
2005,1,c. 40 - 49,294782
2006,1,c. 40 - 49,301054
2007,1,c. 40 - 49,306769
2008,1,c. 40 - 49,322889
2009,1,c. 40 - 49,316745
2010,1,c. 40 - 49,325862
2011,1,c. 40 - 49,334186
2012,1,c. 40 - 49,347555
2013,1,c. 40 - 49,358387
2014,1,c. 40 - 49,365531
2015,1,c. 40 - 49,367587
2016,1,c. 40 - 49,372123
2017,1,c. 40 - 49,381910
